model,split,split_title,condition_index,condition_group,condition_label,aigc_recall,auroc,average_precision,balanced_accuracy,brier,ece_15,false_positive_rate,fn,fp,macro_f1,mean_forensic_gate_fraction,mean_semantic_gate_fraction,n,real_specificity,threshold,tn,tp,tpr_at_fpr_1pct,tpr_at_fpr_5pct,transform,transform_name,transform_params
b0,exact_seen_generator,Exact-seen generator,0,clean,Clean,0.575,0.6446675000000001,0.626787188440977,0.6134999999999999,0.49501731991767883,0.4959596930742263,0.348,425,348,0.6129262599488092,,,2000,0.652,0.998046875,652,575,0.038,0.038,clean,clean,{}
b0,exact_seen_generator,Exact-seen generator,1,legacy_single_stage,JPEG Q90,0.573,0.6460124999999999,0.6286279816961979,0.6134999999999999,0.4949662387371063,0.4960712719261647,0.346,427,346,0.612865001819234,,,2000,0.654,0.998046875,654,573,0.04,0.04,jpeg__quality=90,jpeg,"{""quality"":90}"
b0,exact_seen_generator,Exact-seen generator,2,legacy_single_stage,JPEG Q70,0.559,0.6500755,0.6325969514401741,0.6100000000000001,0.4945657551288605,0.4956681860387326,0.339,441,339,0.6089829646911618,,,2000,0.661,0.998046875,661,559,0.033,0.033,jpeg__quality=70,jpeg,"{""quality"":70}"
b0,exact_seen_generator,Exact-seen generator,3,legacy_single_stage,JPEG Q50,0.579,0.647454,0.6296098921924279,0.626,0.4945966601371765,0.4956108613312245,0.327,421,327,0.6251720049589543,,,2000,0.673,0.998046875,673,579,0.0,0.038,jpeg__quality=50,jpeg,"{""quality"":50}"
b0,exact_seen_generator,Exact-seen generator,4,legacy_single_stage,JPEG Q30,0.556,0.6486715000000001,0.6339112233557243,0.6075,0.494545042514801,0.49536865693330767,0.341,444,341,0.6064562235188278,,,2000,0.659,0.998046875,659,556,0.043,0.043,jpeg__quality=30,jpeg,"{""quality"":30}"
b0,exact_seen_generator,Exact-seen generator,5,legacy_single_stage,Gaussian blur sigma=0.5,0.544,0.648323,0.6309319886500863,0.6065,0.49453431367874146,0.49568826174736025,0.331,456,331,0.6049568627450981,,,2000,0.669,0.998046875,669,544,0.024,0.024,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
b0,exact_seen_generator,Exact-seen generator,6,legacy_single_stage,Gaussian blur sigma=1.0,0.559,0.631978,0.615172048695863,0.6005,0.4946901202201843,0.49532032459974296,0.358,441,358,0.5998107741057035,,,2000,0.642,0.998046875,642,559,0.031,0.031,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
b0,exact_seen_generator,Exact-seen generator,7,legacy_single_stage,Gaussian blur sigma=2.0,0.613,0.6016830000000001,0.5798793771210872,0.589,0.4957923889160156,0.4962763786315918,0.435,387,435,0.5887631275614754,,,2000,0.565,0.998046875,565,613,0.0,0.038,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
b0,exact_seen_generator,Exact-seen generator,8,legacy_single_stage,Resize 0.5 bicubic,0.586,0.6411074999999999,0.6199271732361874,0.614,0.49488958716392517,0.4958547531664371,0.358,414,358,0.6136971385566283,,,2000,0.642,0.998046875,642,586,0.034,0.034,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
b0,exact_seen_generator,Exact-seen generator,9,legacy_single_stage,Resize 0.25 bilinear,0.599,0.5995055,0.5788091989011724,0.5760000000000001,0.4958720803260803,0.49637866020202637,0.447,401,447,0.5757755852846156,,,2000,0.553,0.998046875,553,599,0.0,0.036,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
b0,exact_seen_generator,Exact-seen generator,10,legacy_single_stage,Gaussian noise sigma=0.02,0.596,0.6466985000000001,0.6265705621124503,0.619,0.49504441022872925,0.49604932805895807,0.358,404,358,0.6187983443241475,,,2000,0.642,0.998046875,642,596,0.037,0.037,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
b0,exact_seen_generator,Exact-seen generator,11,legacy_single_stage,Gaussian noise sigma=0.05,0.649,0.6547229999999999,0.6325968402592206,0.62,0.49558115005493164,0.49644630050659183,0.409,351,409,0.6196801510069969,,,2000,0.591,0.998046875,591,649,0.0,0.046,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
b0,exact_seen_generator,Exact-seen generator,12,legacy_single_stage,Gaussian noise sigma=0.10,0.637,0.4895960000000001,0.49244497907906537,0.491,0.49742594361305237,0.4974663257598877,0.655,363,655,0.47991384348778565,,,2000,0.345,0.998046875,345,637,0.0,0.0,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
b0,exact_seen_generator,Exact-seen generator,13,legacy_single_stage,Color jitter 0.8/0.8/0.8,0.501,0.6528165,0.6373987053133088,0.61,0.4934855103492737,0.4945803440213204,0.281,499,281,0.6053106963837351,,,2000,0.719,0.998046875,719,501,0.028,0.028,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
b0,exact_seen_generator,Exact-seen generator,14,legacy_single_stage,Color jitter 1.2/1.2/1.2,0.628,0.6332955,0.6193837267240943,0.5940000000000001,0.4958009421825409,0.49642576918005943,0.44,372,440,0.5935301208196675,,,2000,0.56,0.998046875,560,628,0.05,0.05,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
b0,exact_seen_generator,Exact-seen generator,15,legacy_single_stage,Center crop ratio=0.8,0.565,0.6298539999999999,0.622664309533046,0.6025,0.4942193329334259,0.4948486304283143,0.36,435,360,0.6019402284462525,,,2000,0.64,0.998046875,640,565,0.051,0.051,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
b0,exact_seen_generator,Exact-seen generator,16,legacy_two_stage,2-stage resize 0.5 + JPEG Q70,0.548,0.6414175000000001,0.6221658761262074,0.6120000000000001,0.4944205582141876,0.49548779904842377,0.324,452,324,0.6104042156673736,,,2000,0.676,0.998046875,676,548,0.027,0.027,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
b0,exact_seen_generator,Exact-seen generator,17,legacy_two_stage,2-stage crop 0.8 + JPEG Q50,0.537,0.6291945000000001,0.6152325085493353,0.6040000000000001,0.49409687519073486,0.49459228307008746,0.329,463,329,0.6022143401730368,,,2000,0.671,0.998046875,671,537,0.04,0.04,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
b0,exact_seen_generator,Exact-seen generator,18,new_four_stage_a,4-stage A platform repost,0.535,0.6122970000000001,0.5914283686414182,0.5920000000000001,0.4946717321872711,0.49499119934439656,0.351,465,351,0.5906700871130302,,,2000,0.649,0.998046875,649,535,0.0,0.035,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
b0,exact_seen_generator,Exact-seen generator,19,new_four_stage_b,4-stage B edit repost,0.623,0.64773,0.6226059608728557,0.6134999999999999,0.49548038840293884,0.49621485453844066,0.396,377,396,0.6134651152266493,,,2000,0.604,0.998046875,604,623,0.0,0.048,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
b0,exact_seen_generator,Exact-seen generator,20,new_six_stage,6-stage random composition,0.636,0.5962950000000001,0.5731381245600562,0.577,0.49588319659233093,0.49658885705471045,0.482,364,482,0.575522393451605,,,2000,0.518,0.998046875,518,636,0.0,0.048,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
b0,hard_hourglass,Hard Hourglass,0,clean,Clean,0.144,0.23943200000000003,0.3674263427639666,0.386,0.4988558888435364,0.5147265620231628,0.372,214,93,0.3478048428145939,,,500,0.628,0.998046875,157,36,0.0,0.0,clean,clean,{}
b0,hard_hourglass,Hard Hourglass,1,legacy_single_stage,JPEG Q90,0.144,0.24033600000000002,0.36781188882566623,0.386,0.4988405704498291,0.5140517617464065,0.372,214,93,0.3478048428145939,,,500,0.628,0.998046875,157,36,0.0,0.0,jpeg__quality=90,jpeg,"{""quality"":90}"
b0,hard_hourglass,Hard Hourglass,2,legacy_single_stage,JPEG Q70,0.124,0.23948799999999998,0.36596050963778903,0.384,0.49844032526016235,0.5156484144926071,0.356,219,89,0.33933933933933935,,,500,0.644,0.998046875,161,31,0.0,0.0,jpeg__quality=70,jpeg,"{""quality"":70}"
b0,hard_hourglass,Hard Hourglass,3,legacy_single_stage,JPEG Q50,0.12,0.24003200000000002,0.36575825204919366,0.386,0.4980809986591339,0.5123798785209656,0.348,220,87,0.33924781865688663,,,500,0.652,0.998046875,163,30,0.0,0.0,jpeg__quality=50,jpeg,"{""quality"":50}"
b0,hard_hourglass,Hard Hourglass,4,legacy_single_stage,JPEG Q30,0.132,0.23603200000000002,0.36380676143390966,0.366,0.4977101683616638,0.5121435617208481,0.4,217,100,0.3292737113380249,,,500,0.6,0.998046875,150,33,0.0,0.0,jpeg__quality=30,jpeg,"{""quality"":30}"
b0,hard_hourglass,Hard Hourglass,5,legacy_single_stage,Gaussian blur sigma=0.5,0.112,0.237312,0.3648916155730205,0.374,0.49903520941734314,0.520408188343048,0.364,222,91,0.3278617413749415,,,500,0.636,0.998046875,159,28,0.0,0.0,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
b0,hard_hourglass,Hard Hourglass,6,legacy_single_stage,Gaussian blur sigma=1.0,0.152,0.237792,0.3634500745839653,0.374,0.49798116087913513,0.5093359578847885,0.404,212,101,0.3415488957796019,,,500,0.596,0.998046875,149,38,0.0,0.0,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
b0,hard_hourglass,Hard Hourglass,7,legacy_single_stage,Gaussian blur sigma=2.0,0.248,0.277568,0.380488131241272,0.388,0.4964272379875183,0.4960195237398148,0.472,188,118,0.37576499388004897,,,500,0.528,0.998046875,132,62,0.0,0.004,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
b0,hard_hourglass,Hard Hourglass,8,legacy_single_stage,Resize 0.5 bicubic,0.148,0.238208,0.36411662262725963,0.378,0.497914582490921,0.5075322232246399,0.392,213,98,0.34325836764861156,,,500,0.608,0.998046875,152,37,0.0,0.0,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
b0,hard_hourglass,Hard Hourglass,9,legacy_single_stage,Resize 0.25 bilinear,0.268,0.294232,0.3914939852567655,0.404,0.4964657127857208,0.49586227977275843,0.46,183,115,0.39276864893062075,,,500,0.54,0.998046875,135,67,0.0,0.008,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
b0,hard_hourglass,Hard Hourglass,10,legacy_single_stage,Gaussian noise sigma=0.02,0.156,0.233616,0.361904607852539,0.366,0.4983622431755066,0.5120722676515579,0.424,211,106,0.3367507061408097,,,500,0.576,0.998046875,144,39,0.0,0.0,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
b0,hard_hourglass,Hard Hourglass,11,legacy_single_stage,Gaussian noise sigma=0.05,0.204,0.24216,0.367309722137377,0.38599999999999995,0.49762865900993347,0.507281240940094,0.432,199,108,0.3649651041084896,,,500,0.568,0.998046875,142,51,0.0,0.0,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
b0,hard_hourglass,Hard Hourglass,12,legacy_single_stage,Gaussian noise sigma=0.10,0.628,0.45728,0.4701167434782184,0.474,0.49752622842788696,0.4973388910293579,0.68,93,170,0.46122234923444405,,,500,0.32,0.998046875,80,157,0.0,0.0,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
b0,hard_hourglass,Hard Hourglass,13,legacy_single_stage,Color jitter 0.8/0.8/0.8,0.128,0.24773599999999996,0.3686692373150514,0.402,0.4970032274723053,0.5021445469856262,0.324,218,81,0.3534603924214314,,,500,0.676,0.998046875,169,32,0.0,0.0,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
b0,hard_hourglass,Hard Hourglass,14,legacy_single_stage,Color jitter 1.2/1.2/1.2,0.212,0.25207999999999997,0.373673066674365,0.38999999999999996,0.5003029108047485,0.5198447293043137,0.432,197,108,0.3700403587258705,,,500,0.568,0.998046875,142,53,0.0,0.0,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
b0,hard_hourglass,Hard Hourglass,15,legacy_single_stage,Center crop ratio=0.8,0.132,0.22908,0.3607704120591225,0.376,0.5014140605926514,0.5252597484588624,0.38,217,95,0.33649772878068696,,,500,0.62,0.998046875,155,33,0.0,0.0,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
b0,hard_hourglass,Hard Hourglass,16,legacy_two_stage,2-stage resize 0.5 + JPEG Q70,0.136,0.243584,0.3658747074081953,0.39,0.49757030606269836,0.5087704980373382,0.356,216,89,0.3479311244232932,,,500,0.644,0.998046875,161,34,0.0,0.0,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
b0,hard_hourglass,Hard Hourglass,17,legacy_two_stage,2-stage crop 0.8 + JPEG Q50,0.112,0.237064,0.3645949602965344,0.384,0.4999806582927704,0.5173144750595093,0.344,222,86,0.3347847121432027,,,500,0.656,0.998046875,164,28,0.0,0.0,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
b0,hard_hourglass,Hard Hourglass,18,new_four_stage_a,4-stage A platform repost,0.124,0.24532,0.3669819683808079,0.374,0.4975658059120178,0.5033476551771163,0.376,219,94,0.33226666666666665,,,500,0.624,0.998046875,156,31,0.004,0.004,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
b0,hard_hourglass,Hard Hourglass,19,new_four_stage_b,4-stage B edit repost,0.188,0.245224,0.3703893216985349,0.374,0.49709436297416687,0.4995077896118164,0.44,203,110,0.35156680519243755,,,500,0.56,0.998046875,140,47,0.0,0.0,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
b0,hard_hourglass,Hard Hourglass,20,new_six_stage,6-stage random composition,0.292,0.28881599999999996,0.38726537375413356,0.39,0.49751538038253784,0.5031728276014329,0.512,177,128,0.38408474993840847,,,500,0.488,0.998046875,122,73,0.0,0.0,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
b0,hard_dfgan,Hard DFGAN,0,clean,Clean,0.248,0.446528,0.44944538794282013,0.438,0.4939194619655609,0.4938310706615448,0.372,188,93,0.4169519659715738,,,500,0.628,0.998046875,157,62,0.0,0.0,clean,clean,{}
b0,hard_dfgan,Hard DFGAN,1,legacy_single_stage,JPEG Q90,0.232,0.447552,0.4509083512299803,0.43,0.49391910433769226,0.49380858254432675,0.372,192,93,0.40674190983309677,,,500,0.628,0.998046875,157,58,0.0,0.0,jpeg__quality=90,jpeg,"{""quality"":90}"
b0,hard_dfgan,Hard DFGAN,2,legacy_single_stage,JPEG Q70,0.212,0.446808,0.44834455038903426,0.428,0.49401435256004333,0.4939355254173279,0.356,197,89,0.4000067132116004,,,500,0.644,0.998046875,161,53,0.0,0.0,jpeg__quality=70,jpeg,"{""quality"":70}"
b0,hard_dfgan,Hard DFGAN,3,legacy_single_stage,JPEG Q50,0.22,0.44730400000000003,0.44942443101691076,0.436,0.4940524101257324,0.49423143625259397,0.348,195,87,0.4083982277121375,,,500,0.652,0.998046875,163,55,0.0,0.0,jpeg__quality=50,jpeg,"{""quality"":50}"
b0,hard_dfgan,Hard DFGAN,4,legacy_single_stage,JPEG Q30,0.244,0.44278399999999996,0.44550024710610514,0.422,0.4942448139190674,0.4943994035720825,0.4,189,100,0.4030874218746773,,,500,0.6,0.998046875,150,61,0.0,0.0,jpeg__quality=30,jpeg,"{""quality"":30}"
b0,hard_dfgan,Hard DFGAN,5,legacy_single_stage,Gaussian blur sigma=0.5,0.244,0.45541600000000004,0.4538554022506915,0.44,0.49386417865753174,0.49407227790355684,0.364,189,91,0.41762758115775633,,,500,0.636,0.998046875,159,61,0.0,0.0,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
b0,hard_dfgan,Hard DFGAN,6,legacy_single_stage,Gaussian blur sigma=1.0,0.36,0.471856,0.4741077965683032,0.478,0.4952118694782257,0.49535156702995303,0.404,160,101,0.47062903873535106,,,500,0.596,0.998046875,149,90,0.0,0.0,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
b0,hard_dfgan,Hard DFGAN,7,legacy_single_stage,Gaussian blur sigma=2.0,0.5,0.506048,0.4978340792604329,0.514,0.4957611560821533,0.4958837628364563,0.472,125,118,0.5139047253261639,,,500,0.528,0.998046875,132,125,0.0,0.012,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
b0,hard_dfgan,Hard DFGAN,8,legacy_single_stage,Resize 0.5 bicubic,0.324,0.45996800000000004,0.46531017858860085,0.46599999999999997,0.4952634871006012,0.4952636570930481,0.392,169,98,0.4550108385484918,,,500,0.608,0.998046875,152,81,0.0,0.0,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
b0,hard_dfgan,Hard DFGAN,9,legacy_single_stage,Resize 0.25 bilinear,0.48,0.500416,0.49580096745168567,0.51,0.49596789479255676,0.4960302710533142,0.46,130,115,0.5095586027424682,,,500,0.54,0.998046875,135,120,0.0,0.012,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}"
b0,hard_dfgan,Hard DFGAN,10,legacy_single_stage,Gaussian noise sigma=0.02,0.264,0.448656,0.4492435309908228,0.42,0.4941972494125366,0.494290011048317,0.424,184,106,0.40553305236228865,,,500,0.576,0.998046875,144,66,0.0,0.0,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}"
b0,hard_dfgan,Hard DFGAN,11,legacy_single_stage,Gaussian noise sigma=0.05,0.444,0.5026800000000001,0.4857296650634577,0.506,0.4950562119483948,0.49568749713897703,0.432,139,108,0.5040937363224234,,,500,0.568,0.998046875,142,111,0.0,0.008,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}"
b0,hard_dfgan,Hard DFGAN,12,legacy_single_stage,Gaussian noise sigma=0.10,0.776,0.5547759999999999,0.5317304056241945,0.548,0.49751564860343933,0.4979326128959656,0.68,56,170,0.52321479806248,,,500,0.32,0.998046875,80,194,0.0,0.0,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}"
b0,hard_dfgan,Hard DFGAN,13,legacy_single_stage,Color jitter 0.8/0.8/0.8,0.14,0.434192,0.43942545768599695,0.40800000000000003,0.4926176965236664,0.49359277558326725,0.324,215,81,0.36218992949613005,,,500,0.676,0.998046875,169,35,0.0,0.0,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}"
b0,hard_dfgan,Hard DFGAN,14,legacy_single_stage,Color jitter 1.2/1.2/1.2,0.316,0.4552800000000001,0.4538359932257677,0.44199999999999995,0.49516576528549194,0.4951826333999634,0.432,171,108,0.4329982807044641,,,500,0.568,0.998046875,142,79,0.0,0.004,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}"
b0,hard_dfgan,Hard DFGAN,15,legacy_single_stage,Center crop ratio=0.8,0.304,0.46752,0.4624481785500849,0.46199999999999997,0.4945674538612366,0.4946015477180481,0.38,174,95,0.44822550141738354,,,500,0.62,0.998046875,155,76,0.0,0.004,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}"
b0,hard_dfgan,Hard DFGAN,16,legacy_two_stage,2-stage resize 0.5 + JPEG Q70,0.3,0.465296,0.4638055173864845,0.472,0.49470436573028564,0.4947587946653366,0.356,175,89,0.45590344759360935,,,500,0.644,0.998046875,161,75,0.0,0.0,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}"
b0,hard_dfgan,Hard DFGAN,17,legacy_two_stage,2-stage crop 0.8 + JPEG Q50,0.3,0.479096,0.47104052655189066,0.478,0.4941656291484833,0.49424709773063663,0.344,175,86,0.4609197823850892,,,500,0.656,0.998046875,164,75,0.0,0.0,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
b0,hard_dfgan,Hard DFGAN,18,new_four_stage_a,4-stage A platform repost,0.384,0.505664,0.49033651092259906,0.504,0.4946361184120178,0.4950917704105378,0.376,154,94,0.4967532467532467,,,500,0.624,0.998046875,156,96,0.0,0.0,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
b0,hard_dfgan,Hard DFGAN,19,new_four_stage_b,4-stage B edit repost,0.42,0.48979200000000006,0.4901142441423394,0.49,0.4954318702220917,0.49566600799560545,0.44,145,110,0.48748869460355737,,,500,0.56,0.998046875,140,105,0.0,0.0,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}"
b0,hard_dfgan,Hard DFGAN,20,new_six_stage,6-stage random composition,0.576,0.525824,0.5061623532201106,0.532,0.4957085847854614,0.49602049589157104,0.512,106,128,0.5310921944885298,,,500,0.488,0.998046875,122,144,0.0,0.0,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}"
b0,hard_galip,Hard GALIP,0,clean,Clean,0.228,0.41799200000000003,0.4413166876769961,0.428,0.4939252436161041,0.4932753782272339,0.372,193,93,0.4041666666666667,,,500,0.628,0.998046875,157,57,0.0,0.012,clean,clean,{}
b0,hard_galip,Hard GALIP,1,legacy_single_stage,JPEG Q90,0.216,0.419824,0.4410166158930368,0.422,0.49392402172088623,0.49326563596725465,0.372,196,93,0.3963849935878959,,,500,0.628,0.998046875,157,54,0.0,0.012,jpeg__quality=90,jpeg,"{""quality"":90}"
b0,hard_galip,Hard GALIP,2,legacy_single_stage,JPEG Q70,0.22,0.433784,0.4483090485028501,0.432,0.49403753876686096,0.493399441242218,0.356,195,89,0.40527047628620727,,,500,0.644,0.998046875,161,55,0.0,0.008,jpeg__quality=70,jpeg,"{""quality"":70}"
b0,hard_galip,Hard GALIP,3,legacy_single_stage,JPEG Q50,0.2,0.430808,0.4456809998840601,0.42600000000000005,0.4940890371799469,0.4940507574081421,0.348,200,87,0.3951043497687907,,,500,0.652,0.998046875,163,50,0.0,0.008,jpeg__quality=50,jpeg,"{""quality"":50}"
b0,hard_galip,Hard GALIP,4,legacy_single_stage,JPEG Q30,0.224,0.430992,0.44518032150398934,0.412,0.49426642060279846,0.4941034988164902,0.4,194,100,0.39045628700801116,,,500,0.6,0.998046875,150,56,0.0,0.008,jpeg__quality=30,jpeg,"{""quality"":30}"
b0,hard_galip,Hard GALIP,5,legacy_single_stage,Gaussian blur sigma=0.5,0.184,0.42019999999999996,0.4395645261082426,0.41000000000000003,0.4938940107822418,0.4934492180347443,0.364,204,91,0.3782431469748895,,,500,0.636,0.998046875,159,46,0.0,0.012,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}"
b0,hard_galip,Hard GALIP,6,legacy_single_stage,Gaussian blur sigma=1.0,0.3,0.43360799999999994,0.4504642810061295,0.44799999999999995,0.4952317774295807,0.49505954873561864,0.404,175,101,0.43563821956127,,,500,0.596,0.998046875,149,75,0.0,0.008,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}"
b0,hard_galip,Hard GALIP,7,legacy_single_stage,Gaussian blur sigma=2.0,0.368,0.44176,0.4545473800484494,0.448,0.4957873821258545,0.49598731338977814,0.472,158,118,0.4444444444444444,,,500,0.528,0.998046875,132,92,0.0,0.008,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}"
b0,hard_galip,Hard GALIP,8,legacy_single_stage,Resize 0.5 bicubic,0.296,0.43244800000000005,0.44876239894398023,0.45199999999999996,0.4952623248100281,0.4951747760772705,0.392,176,98,0.4383312287836796,,,500,0.608,0.998046875,152,74,0.0,0.004,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}"
