model,model_order,condition_index,condition_group,condition,transform,n,threshold,accuracy,precision,recall,specificity,npv,f1,macro_f1,balanced_accuracy,mcc,predicted_positive_rate,false_positive_rate,false_negative_rate,auroc,average_precision,brier,ece_15,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tn,fp,fn,tp,accuracy_ci_low,accuracy_ci_high,accuracy_ci_95,precision_ci_low,precision_ci_high,precision_ci_95,recall_ci_low,recall_ci_high,recall_ci_95,specificity_ci_low,specificity_ci_high,specificity_ci_95,f1_ci_low,f1_ci_high,f1_ci_95,mcc_ci_low,mcc_ci_high,mcc_ci_95,auroc_ci_low,auroc_ci_high,auroc_ci_95,average_precision_ci_low,average_precision_ci_high,average_precision_ci_95
B0,0,0,clean,Clean,clean,2000,0.99804688,0.712,0.73451327,0.664,0.76,0.69343066,0.69747899,0.71133492,0.712,0.4259674,0.452,0.24,0.336,0.79104,0.74783446,0.47233356,0.4837417,0.068,0.068,760,240,336,664,0.691,0.7315,69.10%–73.15%,0.71081382,0.75890789,71.08%–75.89%,0.634,0.691025,63.40%–69.10%,0.732,0.787025,73.20%–78.70%,0.67434054,0.71883271,67.43%–71.88%,0.38377068,0.46557539,38.38%–46.56%,0.77096435,0.81000966,77.10%–81.00%,0.723826,0.77229624,72.38%–77.23%
B1,1,0,clean,Clean,clean,2000,0.99707031,0.704,0.68345324,0.76,0.648,0.72972973,0.71969697,0.70306882,0.704,0.41058331,0.556,0.352,0.24,0.7594545,0.70729977,0.47975524,0.48781421,0.0,0.056,648,352,240,760,0.684,0.7245,68.40%–72.45%,0.6641007,0.70371292,66.41%–70.37%,0.731,0.786,73.10%–78.60%,0.619,0.677025,61.90%–67.70%,0.69980649,0.7391719,69.98%–73.92%,0.37059718,0.45171836,37.06%–45.17%,0.73866551,0.78095674,73.87%–78.10%,0.68536357,0.73219833,68.54%–73.22%
B2,2,0,clean,Clean,clean,2000,0.99267578,0.652,0.72960725,0.483,0.821,0.61360239,0.58122744,0.64176855,0.652,0.32301042,0.331,0.179,0.517,0.722783,0.71216657,0.46864574,0.47693591,0.068,0.207,821,179,517,483,0.6325,0.670525,63.25%–67.05%,0.70311118,0.75766447,70.31%–75.77%,0.452,0.512,45.20%–51.20%,0.798,0.843,79.80%–84.30%,0.55325645,0.60797804,55.33%–60.80%,0.28250809,0.36191444,28.25%–36.19%,0.70120995,0.74378574,70.12%–74.38%,0.68913485,0.73657525,68.91%–73.66%
M2,3,0,clean,Clean,clean,2000,0.99902344,0.7885,0.77928364,0.805,0.772,0.7983454,0.7919331,0.7884424,0.7885,0.57731443,0.5165,0.228,0.195,0.856435,0.81642883,0.48293777,0.49051416,0.0,0.363,772,228,195,805,0.7705,0.806,77.05%–80.60%,0.75980481,0.80038779,75.98%–80.04%,0.779,0.828025,77.90%–82.80%,0.746,0.798,74.60%–79.80%,0.77383978,0.80940773,77.38%–80.94%,0.54153981,0.61240325,54.15%–61.24%,0.84136004,0.87272991,84.14%–87.27%,0.79722738,0.83800624,79.72%–83.80%
M3,4,0,clean,Clean,clean,2000,0.99902344,0.793,0.77079482,0.834,0.752,0.81917211,0.80115274,0.79265145,0.793,0.58798012,0.541,0.248,0.166,0.863066,0.82057311,0.47949795,0.48872656,0.0,0.0,752,248,166,834,0.775,0.8105,77.50%–81.05%,0.75203075,0.79076665,75.20%–79.08%,0.81,0.857025,81.00%–85.70%,0.726,0.779025,72.60%–77.90%,0.7839917,0.81765727,78.40%–81.77%,0.55212585,0.62250086,55.21%–62.25%,0.84754736,0.8783069,84.75%–87.83%,0.80025503,0.83958229,80.03%–83.96%
