model,model_order,condition_index,condition_group,condition,transform,n,threshold,accuracy,precision,recall,specificity,npv,f1,macro_f1,balanced_accuracy,mcc,predicted_positive_rate,false_positive_rate,false_negative_rate,auroc,average_precision,brier,ece_15,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tn,fp,fn,tp
B0,0,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,2000,0.99804688,0.6245,0.65054414,0.538,0.711,0.60613811,0.58894362,0.62166923,0.6245,0.25281194,0.4135,0.289,0.462,0.699761,0.64547793,0.48276327,0.48927197,0.0,0.04,711,289,462,538
B0,0,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,2000,0.99804688,0.599,0.61073826,0.546,0.652,0.58951175,0.57655755,0.59787042,0.599,0.19912183,0.447,0.348,0.454,0.651417,0.59775793,0.48348266,0.48950708,0.0,0.037,652,348,454,546
B1,1,0,clean,Clean,clean,2000,0.99707031,0.704,0.68345324,0.76,0.648,0.72972973,0.71969697,0.70306882,0.704,0.41058331,0.556,0.352,0.24,0.7594545,0.70729977,0.47975524,0.48781421,0.0,0.056,648,352,240,760
B1,1,1,single_stage,JPEG Q90,jpeg__quality=90,2000,0.99707031,0.703,0.683213,0.757,0.649,0.72757848,0.71821632,0.70213142,0.703,0.40838871,0.554,0.351,0.243,0.759617,0.70782078,0.47986307,0.4878689,0.0,0.058,649,351,243,757
B1,1,2,single_stage,JPEG Q70,jpeg__quality=70,2000,0.99707031,0.682,0.67333333,0.707,0.657,0.69157895,0.6897561,0.68180113,0.682,0.36445585,0.525,0.343,0.293,0.7411545,0.68768735,0.48227193,0.48904102,0.0,0.048,657,343,293,707
B1,1,3,single_stage,JPEG Q50,jpeg__quality=50,2000,0.99707031,0.68,0.67110266,0.706,0.654,0.68987342,0.68810916,0.67978353,0.68,0.36048771,0.526,0.346,0.294,0.737894,0.68368465,0.48310977,0.48950732,0.0,0.045,654,346,294,706
B1,1,4,single_stage,JPEG Q30,jpeg__quality=30,2000,0.99707031,0.6695,0.66189112,0.693,0.646,0.67785939,0.67708842,0.66931738,0.6695,0.33937505,0.5235,0.354,0.307,0.7218465,0.66748704,0.48447712,0.49021924,0.0,0.037,646,354,307,693
B1,1,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,2000,0.99707031,0.693,0.67837338,0.734,0.652,0.71023965,0.70509126,0.69248306,0.693,0.38730431,0.541,0.348,0.266,0.7485645,0.69473988,0.4800603,0.48787231,0.0,0.051,652,348,266,734
B1,1,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,2000,0.99707031,0.6565,0.64188577,0.708,0.605,0.67447046,0.67332382,0.65558653,0.6565,0.31467364,0.5515,0.395,0.292,0.7119795,0.65777823,0.48441762,0.49029224,0.0,0.05,605,395,292,708
B1,1,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,2000,0.99707031,0.611,0.59503425,0.695,0.527,0.63341346,0.64114391,0.60823571,0.611,0.22520078,0.584,0.473,0.305,0.651429,0.60301232,0.49048365,0.49355786,0.0,0.029,527,473,305,695
B1,1,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,2000,0.99707031,0.6645,0.65022831,0.712,0.617,0.68176796,0.6797136,0.66374132,0.6645,0.33049474,0.5475,0.383,0.288,0.7170245,0.66523729,0.48478873,0.49053174,0.0,0.049,617,383,288,712
B1,1,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,2000,0.99707031,0.586,0.57692308,0.645,0.527,0.59750567,0.60906516,0.58455383,0.586,0.17321012,0.559,0.473,0.355,0.618818,0.57492502,0.49101981,0.49364648,0.0,0.02,527,473,355,645
B1,1,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,2000,0.99707031,0.6725,0.66475645,0.696,0.649,0.68100735,0.68001954,0.67231904,0.6725,0.34538168,0.5235,0.351,0.304,0.7285085,0.6772616,0.4831051,0.48947144,0.0,0.049,649,351,304,696
B1,1,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,2000,0.99707031,0.6235,0.61488372,0.661,0.586,0.63351351,0.63710843,0.6229698,0.6235,0.24769763,0.5375,0.414,0.339,0.6601055,0.61666534,0.49088969,0.49351831,0.0,0.036,586,414,339,661
B1,1,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,2000,0.99707031,0.5305,0.52473642,0.647,0.414,0.53976532,0.57948948,0.52404015,0.5305,0.06272644,0.6165,0.586,0.353,0.544644,0.53198651,0.495914,0.49619434,0.0,0.032,414,586,353,647
B1,1,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,2000,0.99707031,0.6845,0.69648562,0.654,0.715,0.67389255,0.67457452,0.68420623,0.6845,0.36968845,0.4695,0.285,0.346,0.745008,0.6953563,0.47813017,0.48643384,0.0,0.041,715,285,346,654
B1,1,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,2000,0.99707031,0.704,0.67028381,0.803,0.605,0.75436409,0.73066424,0.70107019,0.704,0.41624073,0.599,0.395,0.197,0.7544745,0.69865863,0.48016081,0.48816943,0.0,0.064,605,395,197,803
B1,1,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,2000,0.99707031,0.689,0.67532468,0.728,0.65,0.70498915,0.70067372,0.68852625,0.689,0.37915515,0.539,0.35,0.272,0.7344635,0.68340365,0.48328863,0.48942407,0.0,0.047,650,350,272,728
B1,1,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,2000,0.99707031,0.6495,0.64143803,0.678,0.621,0.65853659,0.65921245,0.64921507,0.6495,0.29948691,0.5285,0.379,0.322,0.7089925,0.65723091,0.48504276,0.49049146,0.0,0.042,621,379,322,678
B1,1,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,2000,0.99707031,0.6775,0.66920877,0.702,0.653,0.68664564,0.6852123,0.6773063,0.6775,0.35542695,0.5245,0.347,0.298,0.727279,0.67298156,0.4836227,0.48952344,0.0,0.033,653,347,298,702
B1,1,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,2000,0.99707031,0.6395,0.63298379,0.664,0.615,0.6466877,0.64812103,0.63928348,0.6395,0.27933554,0.5245,0.385,0.336,0.6774375,0.62400456,0.4874973,0.49164673,0.0,0.032,615,385,336,664
B1,1,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,2000,0.99707031,0.576,0.56551724,0.656,0.496,0.59047619,0.60740741,0.57326892,0.576,0.15398377,0.58,0.504,0.344,0.6109835,0.57582609,0.49250436,0.49444751,0.0,0.034,496,504,344,656
B1,1,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,2000,0.99707031,0.5505,0.54069299,0.671,0.43,0.56653491,0.5988398,0.54387698,0.5505,0.10406737,0.6205,0.57,0.329,0.5584045,0.53619963,0.49492214,0.49564722,0.0,0.048,430,570,329,671
B2,2,0,clean,Clean,clean,2000,0.99267578,0.652,0.72960725,0.483,0.821,0.61360239,0.58122744,0.64176855,0.652,0.32301042,0.331,0.179,0.517,0.722783,0.71216657,0.46864574,0.47693591,0.068,0.207,821,179,517,483
B2,2,1,single_stage,JPEG Q90,jpeg__quality=90,2000,0.99267578,0.6585,0.73004354,0.503,0.814,0.62090008,0.59561871,0.65003783,0.6585,0.33354029,0.3445,0.186,0.497,0.73484,0.72504377,0.46913949,0.47798083,0.082,0.222,814,186,497,503
B2,2,2,single_stage,JPEG Q70,jpeg__quality=70,2000,0.99267578,0.6405,0.68758344,0.515,0.766,0.61231015,0.58890795,0.63474718,0.6405,0.29029313,0.3745,0.234,0.485,0.715324,0.70145792,0.47468945,0.48124524,0.069,0.199,766,234,485,515
B2,2,3,single_stage,JPEG Q50,jpeg__quality=50,2000,0.99267578,0.645,0.78543307,0.399,0.891,0.59718499,0.52917772,0.622133,0.645,0.33310544,0.254,0.109,0.601,0.7526645,0.74626686,0.47034112,0.47769922,0.099,0.206,891,109,601,399
B2,2,4,single_stage,JPEG Q30,jpeg__quality=30,2000,0.99267578,0.636,0.76254826,0.395,0.877,0.59176788,0.52042161,0.61355488,0.636,0.31044161,0.259,0.123,0.605,0.719514,0.71733514,0.47269465,0.47887439,0.086,0.209,877,123,605,395
B2,2,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,2000,0.99267578,0.6345,0.79690949,0.361,0.908,0.58694247,0.49690296,0.60494932,0.6345,0.32133499,0.2265,0.092,0.639,0.758545,0.74848764,0.45988072,0.47085132,0.084,0.224,908,92,639,361
B2,2,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,2000,0.99267578,0.5325,0.94520548,0.069,0.996,0.51686559,0.12861137,0.40458584,0.5325,0.17330499,0.0365,0.004,0.931,0.7488555,0.73929487,0.42964684,0.44552161,0.095,0.223,996,4,931,69
B2,2,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,2000,0.99267578,0.5005,1.0,0.001,1.0,0.50025013,0.001998,0.33444348,0.5005,0.02236627,0.0005,0.0,0.999,0.7665805,0.75143171,0.41238389,0.42685474,0.071,0.229,1000,0,999,1
B2,2,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,2000,0.99267578,0.501,1.0,0.002,1.0,0.5005005,0.00399202,0.33555171,0.501,0.0316386,0.001,0.0,0.998,0.739684,0.74085765,0.41403676,0.42531006,0.127,0.267,1000,0,998,2
B2,2,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,2000,0.99267578,0.5,0.0,0.0,1.0,0.5,0.0,0.33333333,0.5,0.0,0.0,0.0,1.0,0.749571,0.74343891,0.4108484,0.42260181,0.094,0.237,1000,0,1000,0
B2,2,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,2000,0.99267578,0.5005,1.0,0.001,1.0,0.50025013,0.001998,0.33444348,0.5005,0.02236627,0.0005,0.0,0.999,0.744269,0.73097146,0.35808866,0.37020398,0.088,0.219,1000,0,999,1
B2,2,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,2000,0.99267578,0.5,0.0,0.0,1.0,0.5,0.0,0.33333333,0.5,0.0,0.0,0.0,1.0,0.7594575,0.74729337,0.36577749,0.38006628,0.099,0.228,1000,0,1000,0
B2,2,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,2000,0.99267578,0.5,0.0,0.0,1.0,0.5,0.0,0.33333333,0.5,0.0,0.0,0.0,1.0,0.745958,0.74271086,0.38626722,0.39836548,0.127,0.258,1000,0,1000,0
B2,2,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,2000,0.99267578,0.6525,0.77087034,0.434,0.871,0.60612387,0.55534229,0.63507779,0.6525,0.33909178,0.2815,0.129,0.566,0.738423,0.73332297,0.46357446,0.47266846,0.077,0.24,871,129,566,434
B2,2,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,2000,0.99267578,0.5715,0.83886256,0.177,0.966,0.53996646,0.2923204,0.4925209,0.5715,0.23274997,0.1055,0.034,0.823,0.740154,0.73139074,0.42894506,0.44369507,0.069,0.242,966,34,823,177
B2,2,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,2000,0.99267578,0.5,0.0,0.0,1.0,0.5,0.0,0.33333333,0.5,0.0,0.0,0.0,1.0,0.712019,0.70316152,0.39811668,0.40649902,0.057,0.188,1000,0,1000,0
B2,2,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,2000,0.99267578,0.557,0.80319149,0.151,0.963,0.53145695,0.25420875,0.46956526,0.557,0.19532005,0.094,0.037,0.849,0.69557,0.67787578,0.44822337,0.45788745,0.042,0.177,963,37,849,151
B2,2,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,2000,0.99267578,0.6185,0.80939948,0.31,0.927,0.57328386,0.4483008,0.57837279,0.6185,0.30115768,0.1915,0.073,0.69,0.7348595,0.73620145,0.4696778,0.47610596,0.087,0.231,927,73,690,310
B2,2,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,2000,0.99267578,0.59,0.82142857,0.23,0.95,0.55232558,0.359375,0.52895221,0.59,0.25937569,0.14,0.05,0.77,0.7405725,0.74111676,0.46283441,0.47024939,0.084,0.23,950,50,770,230
