model,model_order,condition_index,condition_group,condition,transform,n,threshold,accuracy,precision,recall,specificity,npv,f1,macro_f1,balanced_accuracy,mcc,predicted_positive_rate,false_positive_rate,false_negative_rate,auroc,average_precision,brier,ece_15,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tn,fp,fn,tp
B0,0,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,2000,0.99462891,0.6575,0.64227642,0.711,0.604,0.67637178,0.67489321,0.65651687,0.6575,0.31681885,0.5535,0.396,0.289,0.71052,0.6693958,0.48398068,0.48913086,0.028,0.028,604,396,289,711
B0,0,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,2000,0.99462891,0.619,0.59444444,0.749,0.489,0.66081081,0.66283186,0.61245041,0.619,0.24647667,0.63,0.511,0.251,0.6682515,0.63699829,0.48846825,0.4916626,0.029,0.029,489,511,251,749
B1,1,0,clean,Clean,clean,2000,0.99560547,0.748,0.75101215,0.742,0.754,0.74505929,0.74647887,0.74799093,0.748,0.49603572,0.494,0.246,0.258,0.820364,0.77584443,0.45743621,0.47480176,0.0,0.092,754,246,258,742
B1,1,1,single_stage,JPEG Q90,jpeg__quality=90,2000,0.99560547,0.75,0.75406504,0.742,0.758,0.74606299,0.74798387,0.749984,0.75,0.50006401,0.492,0.242,0.258,0.819821,0.77450115,0.45755736,0.4748501,0.0,0.274,758,242,258,742
B1,1,2,single_stage,JPEG Q70,jpeg__quality=70,2000,0.99560547,0.735,0.73594378,0.733,0.737,0.73406375,0.73446894,0.73499894,0.735,0.47000376,0.498,0.263,0.267,0.8094765,0.76450068,0.46215387,0.47750854,0.0,0.084,737,263,267,733
B1,1,3,single_stage,JPEG Q50,jpeg__quality=50,2000,0.99560547,0.7345,0.73473473,0.734,0.735,0.73426573,0.73436718,0.73449993,0.7345,0.46900023,0.4995,0.265,0.266,0.802861,0.75540073,0.46465723,0.47891309,0.0,0.077,735,265,266,734
B1,1,4,single_stage,JPEG Q30,jpeg__quality=30,2000,0.99560547,0.724,0.72997947,0.711,0.737,0.71832359,0.72036474,0.72395335,0.724,0.4481515,0.487,0.263,0.289,0.7924855,0.74343561,0.4669293,0.48011963,0.0,0.071,737,263,289,711
B1,1,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,2000,0.99560547,0.739,0.74792531,0.721,0.757,0.73069498,0.73421589,0.73891541,0.739,0.47831005,0.482,0.243,0.279,0.815699,0.76844698,0.45798565,0.47495825,0.0,0.251,757,243,279,721
B1,1,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,2000,0.99560547,0.7265,0.71633238,0.75,0.703,0.73767051,0.73277968,0.72634888,0.7265,0.45350117,0.5235,0.297,0.25,0.795436,0.74885797,0.4663349,0.4798833,0.064,0.226,703,297,250,750
B1,1,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,2000,0.99560547,0.6395,0.60310421,0.816,0.463,0.71561051,0.69358266,0.62790851,0.6395,0.29819693,0.6765,0.537,0.184,0.7034715,0.65990297,0.48594005,0.49094775,0.024,0.024,463,537,184,816
B1,1,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,2000,0.99560547,0.7345,0.72922776,0.746,0.723,0.74002047,0.73751854,0.73446488,0.7345,0.4691241,0.5115,0.277,0.254,0.801651,0.75274603,0.46694497,0.48030273,0.071,0.071,723,277,254,746
B1,1,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,2000,0.99560547,0.63,0.60851419,0.729,0.531,0.66209476,0.6633303,0.62633774,0.63,0.26525144,0.599,0.469,0.271,0.6813865,0.64028196,0.48590476,0.49051245,0.009,0.098,531,469,271,729
