model,model_order,condition_index,condition_group,condition,transform,n,threshold,accuracy,precision,recall,specificity,npv,f1,macro_f1,balanced_accuracy,mcc,predicted_positive_rate,false_positive_rate,false_negative_rate,auroc,average_precision,brier,ece_15,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tn,fp,fn,tp
M2,3,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,2000,0.99755859,0.8375,0.85046729,0.819,0.856,0.82545805,0.83443709,0.83744437,0.8375,0.67546251,0.4815,0.144,0.181,0.915084,0.8895959,0.44623626,0.46976514,0.153,0.478,856,144,181,819
M2,3,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,2000,0.99755859,0.823,0.79962894,0.862,0.784,0.85032538,0.82964389,0.82273037,0.823,0.64797414,0.539,0.216,0.138,0.893453,0.85923161,0.45926176,0.47726392,0.0,0.26,784,216,138,862
M2,3,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,2000,0.99755859,0.8185,0.82335025,0.811,0.826,0.8137931,0.81712846,0.81848979,0.8185,0.63707167,0.4925,0.174,0.189,0.896791,0.86537459,0.46032498,0.47777588,0.167,0.167,826,174,189,811
M2,3,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,2000,0.99755859,0.746,0.81139241,0.641,0.851,0.70330579,0.71620112,0.74316843,0.746,0.50322113,0.395,0.149,0.359,0.8631425,0.83077524,0.45787761,0.47556177,0.059,0.287,851,149,359,641
M2,3,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,2000,0.99755859,0.7115,0.7854251,0.582,0.841,0.66799047,0.66858128,0.70657926,0.7115,0.43794382,0.3705,0.159,0.418,0.8275925,0.79171857,0.46345036,0.47821729,0.054,0.243,841,159,418,582
M3,4,0,clean,Clean,clean,2000,0.99707031,0.8525,0.8161435,0.91,0.795,0.89830508,0.86052009,0.85201071,0.8525,0.70970857,0.5575,0.205,0.09,0.9278605,0.90522066,0.40440878,0.44257983,0.0,0.504,795,205,90,910
M3,4,1,single_stage,JPEG Q90,jpeg__quality=90,2000,0.99707031,0.8525,0.81557744,0.911,0.794,0.89920725,0.86065187,0.85199348,0.8525,0.70987549,0.5585,0.206,0.089,0.9283665,0.90603653,0.40423701,0.44243433,0.0,0.5,794,206,89,911
M3,4,2,single_stage,JPEG Q70,jpeg__quality=70,2000,0.99707031,0.848,0.80851064,0.912,0.784,0.89908257,0.85714286,0.84737485,0.848,0.70177266,0.564,0.216,0.088,0.922365,0.89849606,0.41538732,0.45015637,0.0,0.451,784,216,88,912
M3,4,3,single_stage,JPEG Q50,jpeg__quality=50,2000,0.99707031,0.8335,0.78874459,0.911,0.756,0.89467456,0.84547564,0.83249392,0.8335,0.67515966,0.5775,0.244,0.089,0.918023,0.8900451,0.43560262,0.46315833,0.0,0.485,756,244,89,911
M3,4,4,single_stage,JPEG Q30,jpeg__quality=30,2000,0.99707031,0.833,0.78756477,0.912,0.754,0.89548694,0.84522706,0.83195121,0.833,0.67447197,0.579,0.246,0.088,0.912666,0.88258739,0.43396653,0.46207043,0.0,0.466,754,246,88,912
M3,4,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,2000,0.99707031,0.855,0.81810036,0.913,0.797,0.90158371,0.86294896,0.85451057,0.855,0.71482564,0.558,0.203,0.087,0.9303365,0.90641255,0.40808429,0.44552454,0.0,0.491,797,203,87,913
M3,4,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,2000,0.99707031,0.841,0.78135314,0.947,0.735,0.93274112,0.8562387,0.83919317,0.841,0.69786265,0.606,0.265,0.053,0.9321405,0.90578445,0.45648394,0.47602344,0.0,0.542,735,265,53,947
M3,4,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,2000,0.99707031,0.801,0.73442368,0.943,0.659,0.92039106,0.82574431,0.79690479,0.801,0.62785227,0.642,0.341,0.057,0.9056565,0.87123421,0.47320178,0.48545752,0.0,0.442,659,341,57,943
M3,4,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,2000,0.99707031,0.8365,0.78111947,0.935,0.738,0.91905355,0.85116067,0.83489814,0.8365,0.68645207,0.5985,0.262,0.065,0.9245355,0.89650578,0.44837363,0.47114429,0.0,0.481,738,262,65,935
M3,4,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,2000,0.99707031,0.81,0.7545156,0.919,0.701,0.89641944,0.82867448,0.80771547,0.81,0.63527925,0.609,0.299,0.081,0.900451,0.86492378,0.47015245,0.48364966,0.0,0.318,701,299,81,919
M3,4,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,2000,0.99707031,0.838,0.82190476,0.863,0.813,0.85578947,0.84195122,0.83789869,0.838,0.67684659,0.525,0.187,0.137,0.9144705,0.8888486,0.40988648,0.44635083,0.0,0.379,813,187,137,863
M3,4,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,2000,0.99707031,0.8315,0.81421801,0.859,0.804,0.85079365,0.83600973,0.83137248,0.8315,0.66400507,0.5275,0.196,0.141,0.901319,0.87153933,0.42269634,0.45460938,0.0,0.351,804,196,141,859
M3,4,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,2000,0.99707031,0.8015,0.78524125,0.83,0.773,0.81972428,0.80700049,0.80133864,0.8015,0.60398197,0.5285,0.227,0.17,0.881605,0.84918758,0.44401416,0.46757751,0.0,0.323,773,227,170,830
M3,4,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,2000,0.99707031,0.854,0.82777778,0.894,0.814,0.88478261,0.85961538,0.85376603,0.854,0.71027653,0.54,0.186,0.106,0.9260245,0.90164322,0.42332091,0.45530591,0.0,0.419,814,186,106,894
M3,4,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,2000,0.99707031,0.8355,0.81093605,0.875,0.796,0.86427796,0.84175084,0.83524294,0.8355,0.67310371,0.5395,0.204,0.125,0.9160595,0.89404457,0.42514255,0.45592896,0.0,0.421,796,204,125,875
M3,4,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,2000,0.99707031,0.8365,0.80017841,0.897,0.776,0.88282139,0.84582744,0.83589935,0.8365,0.67798146,0.5605,0.224,0.103,0.9102505,0.87856036,0.4218827,0.45433191,0.0,0.419,776,224,103,897
M3,4,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,2000,0.99707031,0.85,0.82347505,0.891,0.809,0.88126362,0.85590778,0.84974743,0.85,0.70236534,0.541,0.191,0.109,0.9234155,0.89780288,0.4259449,0.45758923,0.0,0.352,809,191,109,891
M3,4,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,2000,0.99707031,0.826,0.78006873,0.908,0.744,0.88995215,0.83918669,0.8248221,0.826,0.66094903,0.582,0.256,0.092,0.901669,0.86516068,0.44146518,0.46689404,0.0,0.471,744,256,92,908
M3,4,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,2000,0.99707031,0.8355,0.79716563,0.9,0.771,0.88518944,0.84546736,0.83481278,0.8355,0.67665372,0.5645,0.229,0.1,0.908712,0.87888778,0.45097242,0.47259668,0.0,0.364,771,229,100,900
M3,4,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,2000,0.99707031,0.7865,0.79937304,0.765,0.808,0.7746884,0.78180889,0.78640126,0.7865,0.57353047,0.4785,0.192,0.235,0.8732305,0.84096581,0.43813233,0.46407056,0.0,0.19,808,192,235,765
M3,4,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,2000,0.99707031,0.739,0.77471264,0.674,0.804,0.71150442,0.72085561,0.7378926,0.739,0.48209103,0.435,0.196,0.326,0.83278,0.79652007,0.44345945,0.46612244,0.0,0.146,804,196,326,674
