n,threshold,auroc,average_precision,balanced_accuracy,macro_f1,aigc_recall,real_specificity,false_positive_rate,tpr_at_fpr_1pct,tpr_at_fpr_5pct,brier,ece_15,tn,fp,fn,tp,transform,transform_name,transform_params,mean_semantic_gate_fraction,mean_forensic_gate_fraction
500,0.9970703125,0.431608,0.4276116198290255,0.392,0.3386588698028159,0.108,0.676,0.324,0.0,0.012,0.42508938908576965,0.4162246088981629,169,81,223,27,clean,clean,{},0.544637023448944,0.4553629760742188
500,0.9970703125,0.432376,0.42811944014520165,0.396,0.3446180555555555,0.116,0.676,0.324,0.0,0.012,0.4253045916557312,0.41643552678823476,169,81,221,29,jpeg__quality=90,jpeg,"{""quality"":90}",0.5446442911624908,0.45535570883750914
500,0.9970703125,0.437664,0.43249636721597434,0.424,0.37798051005598177,0.152,0.696,0.304,0.0,0.012,0.4350583255290985,0.43174461257457736,174,76,212,38,jpeg__quality=70,jpeg,"{""quality"":70}",0.5425796694755555,0.45742033213377
500,0.9970703125,0.44541600000000003,0.43702560642117005,0.41000000000000003,0.37329781312802995,0.168,0.652,0.348,0.0,0.012,0.4461878538131714,0.44740818977355956,163,87,208,42,jpeg__quality=50,jpeg,"{""quality"":50}",0.5408052129745483,0.4591947843432426
500,0.9970703125,0.43251199999999995,0.42888086826344396,0.4,0.367099289463469,0.172,0.628,0.372,0.0,0.004,0.44982755184173584,0.44753613030910494,157,93,207,43,jpeg__quality=30,jpeg,"{""quality"":30}",0.5381673353910447,0.46183266615867613
500,0.9970703125,0.42596,0.423023353883704,0.386,0.3345731514355446,0.108,0.664,0.336,0.0,0.004,0.42782676219940186,0.418951174736023,166,84,223,27,gaussian_blur__sigma=0.5,gaussian_blur,"{""sigma"":0.5}",0.5424374881982803,0.45756251412630083
500,0.9970703125,0.42484,0.4271677795286505,0.40399999999999997,0.3801893542321836,0.208,0.6,0.4,0.0,0.0,0.46094590425491333,0.461769528388977,150,100,198,52,gaussian_blur__sigma=1.0,gaussian_blur,"{""sigma"":1.0}",0.5289771674275399,0.4710228324532509
500,0.9970703125,0.438784,0.4465262067803302,0.42600000000000005,0.42043384666335487,0.328,0.524,0.476,0.0,0.0,0.4797168970108032,0.479475558757782,131,119,168,82,gaussian_blur__sigma=2.0,gaussian_blur,"{""sigma"":2.0}",0.5105182508230209,0.4894817491173744
500,0.9970703125,0.432256,0.43184531457612263,0.406,0.37749160556862055,0.192,0.62,0.38,0.0,0.008,0.45744335651397705,0.45659764480590825,155,95,202,48,resize__interpolation=bicubic_scale=0.5,resize,"{""interpolation"":""bicubic"",""scale"":0.5}",0.5300788165926933,0.46992118448019027
500,0.9970703125,0.400224,0.41946648951812343,0.37,0.35125115848007415,0.2,0.54,0.46,0.0,0.0,0.47834503650665283,0.4764492002725601,135,115,200,50,resize__interpolation=bilinear_scale=0.25,resize,"{""interpolation"":""bilinear"",""scale"":0.25}",0.5078808013796806,0.4921191954612732
500,0.9970703125,0.41353599999999996,0.41667425735784414,0.384,0.3230769230769231,0.084,0.684,0.316,0.0,0.0,0.4273151457309723,0.4169975597262383,171,79,229,21,gaussian_noise__sigma=0.02,gaussian_noise,"{""seed"":20260827,""sigma"":0.02}",0.5480393384695053,0.4519606599211693
500,0.9970703125,0.40623200000000004,0.4135397607668966,0.374,0.3165192706627361,0.084,0.664,0.336,0.0,0.0,0.43906667828559875,0.43023632180690763,166,84,229,21,gaussian_noise__sigma=0.05,gaussian_noise,"{""seed"":20260827,""sigma"":0.05}",0.5491223431825638,0.4508776534795761
500,0.9970703125,0.41996,0.42191049767579764,0.386,0.34074618083740266,0.124,0.648,0.352,0.0,0.0,0.45658931136131287,0.4543456852436066,162,88,219,31,gaussian_noise__sigma=0.1,gaussian_noise,"{""seed"":20260827,""sigma"":0.1}",0.5488954974412918,0.45110449892282484
500,0.9970703125,0.48596,0.45767929417959896,0.43200000000000005,0.3947763229678123,0.184,0.68,0.32,0.0,0.012,0.4369567036628723,0.4396005839109421,170,80,204,46,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,color_jitter,"{""brightness"":0.8,""contrast"":0.8,""saturation"":0.8}",0.5408097176551819,0.45919028341770174
500,0.9970703125,0.452288,0.4407844649976104,0.422,0.37798898889850246,0.156,0.688,0.312,0.0,0.012,0.4351412355899811,0.4320351649522781,172,78,211,39,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,color_jitter,"{""brightness"":1.2,""contrast"":1.2,""saturation"":1.2}",0.5455211921334266,0.45447880679368974
500,0.9970703125,0.41328000000000004,0.41789909894862703,0.386,0.34365526294410165,0.132,0.64,0.36,0.0,0.0,0.44028380513191223,0.4356787186861038,160,90,217,33,center_crop__ratio=0.8,center_crop,"{""ratio"":0.8}",0.5426254785060882,0.4573745222687721
500,0.9970703125,0.4185359999999999,0.41865457301358355,0.37,0.30860100351625774,0.072,0.668,0.332,0.0,0.0,0.4417344927787781,0.43831052696704864,167,83,232,18,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,combo_resize_jpeg,"{""transforms"":[{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""jpeg"",""params"":{""quality"":70}}]}",0.5277115826606751,0.4722884184718132
500,0.9970703125,0.419744,0.42223761580128505,0.384,0.3572513731447937,0.18,0.588,0.412,0.0,0.0,0.4561023414134979,0.4558720626831055,147,103,205,45,center_crop__ratio=0.8__jpeg__quality=50,combo_crop_jpeg,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.8}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.5374563773870468,0.46254362422227857
500,0.9970703125,0.41424,0.4200559376427664,0.38,0.3472474900613166,0.156,0.604,0.396,0.0,0.0,0.4661914110183716,0.4665605278015137,151,99,211,39,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,combo_four_stage_platform_repost,"{""transforms"":[{""name"":""center_crop"",""params"":{""ratio"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bicubic"",""scale"":0.5}},{""name"":""gaussian_blur"",""params"":{""sigma"":1.0}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.5178633777499199,0.48213662177324296
500,0.9970703125,0.41032,0.41634761644871765,0.38999999999999996,0.326981212846053,0.084,0.696,0.304,0.0,0.0,0.45793095231056213,0.45364745855331423,174,76,229,21,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,combo_four_stage_edit_repost,"{""transforms"":[{""name"":""color_jitter"",""params"":{""brightness"":1.15,""contrast"":1.15,""saturation"":0.85}},{""name"":""resize"",""params"":{""interpolation"":""bilinear"",""scale"":0.5}},{""name"":""gaussian_noise"",""params"":{""seed"":20260829,""sigma"":0.05}},{""name"":""jpeg"",""params"":{""quality"":50}}]}",0.5367630519866944,0.4632369499206543
500,0.9970703125,0.4004,0.41329223945823834,0.394,0.34001594416926956,0.108,0.68,0.32,0.0,0.0,0.4653349816799164,0.46322850370407115,170,80,223,27,strict_random_six__profile=full_training_range_v1,strict_random_six,"{""profile"":""full_training_range_v1"",""seed"":20260829}",0.5368312413692474,0.463168759226799
